time stamp,pendulum,angle
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,4313
,0,4317
,0,4324
,0,4335
,0,4341
,0,4345
,0,4351
,0,4355
,0,4354
,0,4357
,0,4361
,0,4370
,0,4378
,0,4383
,0,4385
,0,4385
,0,4392
,0,4401
,0,4399
,0,4402
,0,4405
,1,4418
,0,4413
,0,4416
,0,4419
,0,4427
,0,4422
,0,4422
,0,4427
,0,4430
,0,4434
,0,4426
,0,4425
,0,4428
,0,4432
,0,4431
,0,4429
,0,4425
,0,4421
,0,4427
,0,4424
,0,4426
,0,4427
,0,4425
,0,4423
,0,4418
,0,4418
,0,4418
,0,4418
,0,4418
302,0,4418
303,0,4417
304,0,4411
305,0,4404
306,0,4401
307,0,4397
308,0,4393
309,0,4393
310,0,4392
311,0,4389
312,0,4385
313,0,4379
314,0,4374
315,0,4369
316,0,4365
317,0,4365
318,0,4361
319,0,4351
320,0,4344
321,0,4339
322,0,4343
323,0,4339
324,0,4326
325,0,4320
326,0,4318
327,0,4319
328,0,4313
329,0,4298
330,0,4292
331,0,4293
332,0,4288
333,0,4272
334,0,4263
335,0,4259
336,0,4255
337,0,4246
338,0,4236
339,0,4219
340,0,4210
341,0,4206
342,0,4197
343,0,4189
344,0,4181
345,0,4174
346,0,4167
347,0,4161
348,0,4157
349,0,4152
350,0,4149
351,0,4145
352,0,4143
353,0,4140
354,0,4138
355,0,4137
356,0,4136
357,0,4135
358,0,4134
359,0,4134
360,0,4133
361,0,4133
362,0,4133
363,0,4133
364,0,4133
365,0,4133
366,0,4134
367,0,4134
368,0,4134
369,0,4133
370,0,4134
371,0,4134
372,0,4132
373,0,4131
374,0,4132
375,0,4132
376,0,4132
377,0,4132
378,0,4132
379,0,4131
380,0,4131
381,0,4131
382,0,4132
383,0,4132
384,0,4133
385,0,4133
386,0,4134
387,0,4134
388,0,4135
389,0,4135
390,0,4136
391,0,4137
392,0,4138
393,0,4139
394,0,4140
395,0,4141
396,0,4140
397,0,4140
398,0,4143
399,0,4145
400,0,4146
401,0,4147
402,0,4148
403,0,4149
404,0,4150
405,0,4151
406,0,4151
407,0,4151
408,0,4152
409,0,4153
410,0,4153
411,0,4154
412,0,4155
413,0,4155
414,0,4156
415,0,4156
416,0,4157
417,0,4157
418,0,4157
419,0,4158
420,0,4158
421,0,4158
422,0,4158
423,0,4158
424,0,4158
425,0,4158
426,0,4158
427,0,4158
428,0,4158
429,0,4155
430,0,4158
431,0,4158
432,0,4158
433,0,4158
434,0,4158
435,0,4158
436,0,4158
437,0,4158
438,0,4158
439,0,4158
440,0,4157
441,0,4157
442,0,4157
443,0,4157
444,0,4157
445,0,4157
446,0,4157
447,0,4157
448,1,4155
449,0,4157
450,0,4157
451,0,4157
452,0,4157
453,0,4157
454,0,4157
455,0,4157
456,0,4157
457,0,4157
458,0,4157
459,0,4157
460,0,4157
461,0,4157
462,0,4157
463,0,4157
464,0,4157
465,0,4157
466,0,4157
467,0,4157
468,0,4157
469,0,4157
470,0,4157
471,0,4157
472,0,4157
473,0,4157
474,0,4157
475,0,4157
476,0,4157
477,0,4157
478,0,4157
479,0,4157
480,0,4157
481,0,4157
482,0,4157
483,0,4157
484,0,4157
485,0,4157
486,0,4157
487,0,4157
488,0,4157
489,0,4157
490,0,4157
491,0,4157
492,0,4157
493,0,4157
494,0,4157
495,0,4157
496,0,4157
497,0,4157
498,0,4157
499,0,4157
500,0,4157
501,0,4157
502,0,4157
503,0,4157
504,0,4157
505,0,4157
506,0,4157
507,0,4157
508,0,4157
509,0,4157
510,0,4157
511,0,4157
512,0,4157
513,0,4157
514,0,4157
515,0,4157
516,0,4157
517,0,4157
518,0,4157
519,0,4157
520,0,4157
521,0,4157
522,0,4157
523,0,4157
524,0,4157
525,0,4157
526,0,4157
527,0,4157
528,0,4157
529,0,4157
530,0,4157
531,0,4157
532,0,4157
533,0,4157
534,0,4157
535,0,4157
536,0,4157
537,0,4157
538,0,4157
539,0,4157
540,0,4157
541,0,4157
